,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,horsepower-binned,diesel,gas
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,-0.4254799003350163,0.31666666666666643,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,13495.0,Low,0,1
1,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,-0.4254799003350163,0.31666666666666643,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,16500.0,Low,0,1
2,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,-0.23094769053590705,0.43333333333333357,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,26,16500.0,Medium,0,1
3,2,164,audi,std,four,sedan,fwd,front,99.8,0.20674978151209342,0.49166666666666714,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,30,13950.0,Low,0,1
4,2,164,audi,std,four,sedan,4wd,front,99.4,0.20674978151209342,0.5083333333333341,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,22,17450.0,Low,0,1
5,2,122,audi,std,two,sedan,fwd,front,99.8,0.26348834270350224,0.5,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,15250.0,Low,0,1
6,1,158,audi,std,four,sedan,fwd,front,105.8,1.5117366889144634,0.9250000000000007,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,17710.0,Low,0,1
7,1,122,audi,std,four,wagon,fwd,front,105.8,1.5117366889144634,0.9250000000000007,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,18920.0,Low,0,1
8,1,158,audi,turbo,four,sedan,fwd,front,105.8,1.5117366889144634,0.9250000000000007,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,20,23875.0,Medium,0,1
9,2,192,bmw,std,two,sedan,rwd,front,101.2,0.22296079899535406,0.375,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16430.0,Low,0,1
10,0,192,bmw,std,four,sedan,rwd,front,101.2,0.22296079899535406,0.375,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16925.0,Low,0,1
